1	Toy story	1995	3.7	102338
2	Jumanji	1995	3.2	44587
3	Grumpy Old Men	1993	3.2	10489
4	Waiting to Exhale	1995	3.3	5666
5	Father of the Bride Part II	1995	3	13761
6	Heat	1995	3.9	42785
7	Sabrina	1954	3.8	12812
8	Tom and Huck	1995	2.7	2649
9	Sudden Death	1995	2.6	3626
10	GoldenEye	1995	3.4	28260
11	The American President	1995	3.2	8320
12	Dracula: Dead and Loving It	1995	2.8	10078
13	Balto	1995	3.2	9195
14	Nixon	1995	3.5	3256
15	Cutthroat Island	1995	2.6	3350
16	Casino	1995	3.9	66463
17	Sense and Sensibility	1995	3.8	32782
18	Four Rooms	1995	3.5	14266
19	Ace Ventura: When Nature Calls	1995	3.2	87306
20	Money Train	1995	2.7	5263
21	Get Shorty	1995	3.2	10155
22	Copycat	1995	3.1	5628
23	Ninja Assassin	2009	3.4	107023
24	Powder	1995	3.1	6650
25	Leaving Las Vegas	1995	3.6	12742
26	Othello	1995	3.3	2018
27	Now and Then	1995	3.5	17168
28	Persuasion	1995	3.9	7968
29	La cité des enfants perdus	1995	4	22420
30	Yao a yao yao dao waipo qiao	1995	3.6	1061
31	Dangerous Minds	1995	3.1	12136
32	Twelve Monkeys	1995	0	0
33	Wings of Courage	1995	0	0
34	Babe	1995	3	22954
35	Carrington	1995	3.5	781
36	Dead Man Walking	1995	3.6	15450
37	Across the Sea of Time	1995	2.9	237
38	It Takes Two	1995	2.9	16311
39	Clueless	1995	0	0
40	Cry, the Beloved Country	1995	3.5	520
41	Richard III	1995	3.7	1552
42	Dead Presidents	1995	3.3	4475
43	Restoration	1995	3.3	1103
44	Mortal Kombat	1995	2.8	18291
45	Live Free or Die Hard	2007	3.9	1145097
46	How to Make an American Quilt	1995	3.2	2626
47	Shichinin no samurai	1954	4.5	29509
48	Pocahontas	1995	3.2	37858
49	When Night Is Falling	1995	3.9	1132
50	The Usual Suspects	1995	4.2	109588
52	Mighty Aphrodite	1995	3.3	4866
53	Lamerica	1994	3.9	239
54	The Big Green	1995	2.7	2596
55	Georgia Rule	2007	3	64056
56	Kids of the Round Table	1997	0	0
57	Home for the Holidays	1995	3.4	3045
58	Il postino	1994	4.1	5794
59	Le confessionnal	1995	0	0
60	The Indian in the Cupboard	1995	2.7	5127
61	Eye for an Eye	1996	0	0
62	Mr. Holland's Opus	1995	3.5	9569
63	Don't Be a Menace to South Central While Drinking Your Juice in the Hood	1996	0	0
64	Two If by Sea	1996	2.6	1608
65	Bio-Dome	1996	2.6	8972
66	Lawnmower Man 2: Beyond Cyberspace	1996	2.1	952
67	Two Bits	1995	3.3	685
68	Gazon maudit	1995	3.4	597
69	Friday	1995	0	0
