Capital or Revenue,Directorate,Transaction Number,Date,Service Area,Expenses Type,Amount,Supplier Name
Revenue,Community Wellbeing & Social Care,5105650243,29.01.2014,Drug Misuse - Adults,Charges from Independent Providers,120.00,REDACTED PERSONAL DATA
Revenue,Community Wellbeing & Social Care,5105646636,15.01.2014,Drug Misuse - Adults,Charges from Independent Providers,120.00,REDACTED PERSONAL DATA
Revenue,Community Wellbeing & Social Care,5105648361,22.01.2014,Leaseholds by LA,Accommodation Costs - Leaseholder Payments,695.89,REDACTED PERSONAL DATA
Revenue,Community Wellbeing & Social Care,5105648361,22.01.2014,Leaseholds by LA,Accommodation Costs - Leaseholder Payments,695.89,REDACTED PERSONAL DATA
Revenue,Community Wellbeing & Social Care,5105648361,22.01.2014,Leaseholds by LA,Accommodation Costs - Leaseholder Payments,695.89,REDACTED PERSONAL DATA
Revenue,Community Wellbeing & Social Care,5105648361,22.01.2014,Leaseholds by LA,Accommodation Costs - Leaseholder Payments,695.89,REDACTED PERSONAL DATA
Revenue,Community Wellbeing & Social Care,5105648361,22.01.2014,Leaseholds by LA,Accommodation Costs - Leaseholder Payments,695.89,REDACTED PERSONAL DATA
Revenue,Community Wellbeing & Social Care,5105645412,08.01.2014,Public Health Core,Payment to Private Contractors,"2,250.00",REDACTED PERSONAL DATA
Revenue,Community Wellbeing & Social Care,5105650444,29.01.2014,Warm Homes Healthy People DoH,Operational Equipment,668.96,REDACTED PERSONAL DATA
Revenue,Community Wellbeing & Social Care,5105650445,29.01.2014,Warm Homes Healthy People DoH,Operational Equipment,126.63,REDACTED PERSONAL DATA
Revenue,Community Wellbeing & Social Care,5105648305,22.01.2014,Arts Projects,Professional Services,200.00,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105647883,27.01.2014,Duty and Assessment 2,Professional Services,208.50,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105644094,15.01.2014,Duty and Assessment 2,Professional Services,206.70,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105644124,15.01.2014,Duty and Assessment 2,Professional Services,240.40,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105647156,15.01.2014,Thompson House Tuition Centre (PRU),Professional Services,450.00,BFIT
Revenue,Childrens Services,5105648545,24.01.2014,Thompson House Tuition Centre (PRU),Professional Services,375.00,BFIT
Revenue,Childrens Services,5105647849,27.01.2014,Adult Social Care - Workforce Development,Training,150.00,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105647849,27.01.2014,Adult Social Care - Workforce Development,Training,150.00,REDACTED PERSONAL DATA
Revenue,Economy & Environment,5105648995,31.01.2014,Old Cowes Enterprise College,Security of Buildings,120.00,REDACTED PERSONAL DATA
Revenue,Economy & Environment,5105648995,31.01.2014,Old Cowes Enterprise College,Security of Buildings,120.00,REDACTED PERSONAL DATA
Revenue,Economy & Environment,5105648995,31.01.2014,Old Cowes Enterprise College,Minor Works,15.00,REDACTED PERSONAL DATA
Revenue,Economy & Environment,5105648995,31.01.2014,Old Cowes Enterprise College,Security of Buildings,310.00,REDACTED PERSONAL DATA
Revenue,Economy & Environment,5105648995,31.01.2014,Old Cowes Enterprise College,Security of Buildings,155.00,REDACTED PERSONAL DATA
Revenue,Economy & Environment,5105648995,31.01.2014,Love Lane Primary School,Security of Buildings,310.00,REDACTED PERSONAL DATA
Revenue,Economy & Environment,5105648995,31.01.2014,Old Cowes Enterprise College,Security of Buildings,680.00,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105643920,03.01.2014,Short Breaks,Payment to Private Contractors,15.00,REDACTED PERSONAL DATA
Revenue,Community Wellbeing & Social Care,5105647594,17.01.2014,Drug Misuse - Adults,Charges from Independent Providers,120.00,REDACTED PERSONAL DATA
Revenue,Resources,5105647642,17.01.2014,Coroner,Post Mortem Fees,276.90,REDACTED PERSONAL DATA
Revenue,Resources,5105647642,17.01.2014,Coroner,Post Mortem Fees,319.00,REDACTED PERSONAL DATA
Revenue,Community Wellbeing & Social Care,5105649065,24.01.2014,Shared Lives Scheme,Charges from Independent Providers,632.40,REDACTED PERSONAL DATA
